Timestep,Average Reward,Episode Reward
1285,311.89,0.0
1286,333.72,0.0
1287,342.21,0.0
1288,368.69,0.0
1289,356.7,0.0
1290,353.43,0.0
1291,335.86,0.0
1292,341.19,0.0
1293,338.68,0.0
1294,323.48,0.0
1295,356.93,0.0
1296,356.39,0.0
1297,351.79,0.0
1298,364.68,0.0
1299,395.31,0.0
1300,369.6,0.0
1301,364.38,0.0
1302,370.92,0.0
1303,364.29,0.0
1304,360.17,0.0
1305,384.92,0.0
1306,375.58,0.0
1307,383.87,0.0
1308,391.74,0.0
1309,369.37,0.0
1310,399.18,0.0
1311,387.5,0.0
1312,392.05,0.0
1313,389.55,0.0
1314,368.24,0.0
1315,364.27,0.0
1316,385.74,0.0
1317,408.07,0.0
1318,414.79,0.0
1319,391.88,0.0
1320,391.41,0.0
1321,348.78,0.0
1322,368.04,0.0
1323,408.57,0.0
1324,361.44,0.0
1325,406.84,0.0
1326,371.62,0.0
1327,325.99,0.0
1328,322.07,0.0
1329,322.23,0.0
1330,346.62,0.0
1331,318.18,0.0
1332,303.72,0.0
1333,349.66,0.0
1334,360.31,0.0
1335,361.49,0.0
1336,365.82,0.0
1337,344.02,0.0
1338,401.11,0.0
1339,384.03,0.0
1340,387.49,0.0
1341,417.79,0.0
1342,386.48,0.0
1343,378.02,0.0
1344,394.95,0.0
1345,373.34,0.0
1346,375.08,0.0
1347,375.73,0.0
1348,397.49,0.0
1349,383.2,0.0
1350,363.88,0.0
1351,384.62,0.0
1352,377.62,0.0
1353,368.96,0.0
